iter	Passed	Remaining
0	123	122903
1	124	61948
2	125	41647
3	126	31418
4	127	25273
5	127	21195
6	128	18268
7	129	16070
8	130	14365
9	131	12994
10	132	11871
11	132	10928
12	133	10131
13	134	9464
14	135	8900
15	136	8415
16	137	7968
17	138	7561
18	139	7194
19	140	6867
20	140	6568
21	141	6293
22	142	6042
23	143	5817
24	143	5610
25	144	5415
26	145	5237
27	146	5071
28	146	4914
29	147	4776
30	148	4650
31	149	4524
32	150	4406
33	151	4304
34	152	4197
35	152	4095
36	153	3997
37	154	3904
38	154	3817
39	155	3734
40	156	3656
41	156	3580
42	157	3509
43	158	3441
44	159	3375
45	159	3313
46	160	3254
47	161	3197
48	162	3160
49	163	3111
50	164	3062
51	165	3013
52	165	2965
53	166	2918
54	167	2874
55	167	2830
56	168	2789
57	169	2748
58	169	2709
59	170	2672
60	171	2635
61	171	2600
62	172	2566
63	173	2532
64	173	2500
65	174	2468
66	175	2438
67	176	2413
68	177	2390
69	177	2364
70	178	2338
71	179	2312
72	180	2286
73	180	2261
74	181	2236
75	181	2212
76	182	2189
77	183	2166
78	183	2143
79	184	2122
80	185	2101
81	185	2081
82	186	2058
83	186	2038
84	187	2020
85	188	2001
86	188	1983
87	189	1967
88	190	1951
89	191	1937
90	192	1923
91	193	1908
92	194	1893
93	195	1879
94	195	1865
95	196	1851
96	197	1837
97	198	1823
98	198	1808
99	199	1794
100	200	1780
101	200	1766
102	201	1753
103	201	1739
104	202	1726
105	203	1714
106	203	1701
107	204	1689
108	205	1678
109	206	1668
110	207	1659
111	208	1652
112	209	1641
113	209	1630
114	210	1619
115	211	1608
116	211	1597
117	212	1587
118	213	1578
119	213	1567
120	214	1557
121	214	1547
122	215	1537
123	216	1528
124	216	1518
125	217	1509
126	218	1500
127	218	1490
128	219	1482
129	220	1474
130	221	1468
131	222	1461
132	222	1453
133	223	1445
134	224	1437
135	224	1429
136	225	1421
137	226	1413
138	226	1405
139	227	1397
140	228	1390
141	228	1381
142	229	1374
143	229	1366
144	230	1359
145	231	1353
146	232	1346
147	232	1339
148	233	1333
149	234	1326
150	234	1319
151	235	1314
152	236	1309
153	237	1302
154	237	1296
155	238	1289
156	239	1283
157	239	1277
158	240	1271
159	241	1265
160	241	1258
161	242	1252
162	242	1246
163	243	1241
164	244	1235
165	244	1230
166	245	1224
167	246	1218
168	246	1213
169	247	1207
170	248	1202
171	248	1197
172	249	1192
173	250	1188
174	251	1184
175	251	1179
176	252	1174
177	253	1169
178	253	1164
179	254	1159
180	255	1154
181	255	1149
182	256	1144
183	257	1139
184	257	1134
185	258	1130
186	258	1125
187	259	1121
188	260	1116
189	260	1111
190	261	1107
191	262	1102
192	262	1098
193	263	1094
194	264	1089
195	264	1086
196	266	1084
197	266	1080
198	267	1076
199	268	1072
200	268	1068
201	269	1064
202	270	1060
203	270	1056
204	271	1052
205	272	1048
206	272	1044
207	273	1040
208	273	1036
209	274	1032
210	275	1029
211	275	1025
212	276	1021
213	277	1017
214	277	1014
215	278	1010
216	279	1007
217	280	1004
218	280	1001
219	281	998
220	282	994
221	282	991
222	283	987
223	284	984
224	284	981
225	285	977
226	286	974
227	286	971
228	287	967
229	288	964
230	288	961
231	289	958
232	290	955
233	290	951
234	291	948
235	292	945
236	292	942
237	293	939
238	293	935
239	294	932
240	295	930
241	296	927
242	296	925
243	297	922
244	298	919
245	298	916
246	299	913
247	300	910
248	300	907
249	301	904
250	302	901
251	302	898
252	303	896
253	304	893
254	304	890
255	305	887
256	306	884
257	306	882
258	307	879
259	308	876
260	308	873
261	309	871
262	310	869
263	311	867
264	311	865
265	312	862
266	313	860
267	313	857
268	314	854
269	315	852
270	315	849
271	316	847
272	317	844
273	317	842
274	318	839
275	319	837
276	319	834
277	320	832
278	321	829
279	321	827
280	322	825
281	323	822
282	323	819
283	324	817
284	325	815
285	325	813
286	326	811
287	327	809
288	328	807
289	328	804
290	329	802
291	329	800
292	330	797
293	331	795
294	331	793
295	332	790
296	333	788
297	333	786
298	334	784
299	335	781
300	335	779
301	336	777
302	336	775
303	337	773
304	338	770
305	338	768
306	339	766
307	340	764
308	341	763
309	341	760
310	342	758
311	343	756
312	343	754
313	344	752
314	345	750
315	345	748
316	346	746
317	346	744
318	347	741
319	348	739
320	348	737
321	349	735
322	349	733
323	350	731
324	351	729
325	351	727
326	352	725
327	353	723
328	353	721
329	354	720
330	355	718
331	356	717
332	357	715
333	357	713
334	358	711
335	359	709
336	359	708
337	360	706
338	361	704
339	362	702
340	362	700
341	363	698
342	363	697
343	364	695
344	365	693
345	365	691
346	366	689
347	367	687
348	367	685
349	368	684
350	368	682
351	369	680
352	370	678
353	371	677
354	371	675
355	372	673
356	373	672
357	373	670
358	374	669
359	375	667
360	375	665
361	376	663
362	377	662
363	377	660
364	378	658
365	379	656
366	379	655
367	380	653
368	381	651
369	381	650
370	382	648
371	383	646
372	383	645
373	384	643
374	385	641
375	385	640
376	386	638
377	387	637
378	388	636
379	389	635
380	390	634
381	391	633
382	392	632
383	393	631
384	394	629
385	394	628
386	395	626
387	396	625
388	397	623
389	397	622
390	398	620
391	400	620
392	401	619
393	402	618
394	402	616
395	403	615
396	404	613
397	404	612
398	405	610
399	406	609
400	406	607
401	407	606
402	408	604
403	408	603
404	409	601
405	409	599
406	410	598
407	411	596
408	411	595
409	412	593
410	413	592
411	413	590
412	414	589
413	415	588
414	416	587
415	417	585
416	418	584
417	418	582
418	419	581
419	420	580
420	420	578
421	421	577
422	421	575
423	422	574
424	423	572
425	423	571
426	424	569
427	425	568
428	425	566
429	426	565
430	426	563
431	427	562
432	428	560
433	428	559
434	429	558
435	430	556
436	431	555
437	431	554
438	432	552
439	433	551
440	433	549
441	434	548
442	434	546
443	435	545
444	436	544
445	436	542
446	437	541
447	438	539
448	438	538
449	439	537
450	440	535
451	440	534
452	441	532
453	441	531
454	442	530
455	443	528
456	443	527
457	444	526
458	445	525
459	446	524
460	447	523
461	448	522
462	449	521
463	449	519
464	450	518
465	451	517
466	451	515
467	452	514
468	453	513
469	454	512
470	455	511
471	455	509
472	456	508
473	457	507
474	457	505
475	458	504
476	459	503
477	459	502
478	460	501
479	461	499
480	462	498
481	462	497
482	463	496
483	464	495
484	465	493
